Title,Summary,Genre,Feature
투게더,"예능 베테랑 이승기, 예능 초짜 류이호. 두 남자가 팬을 만나러 떠난다. 아시아 곳곳을 누비며 우정을 쌓아가는 그들. 말이 좀 안 통하면 어때. 우리가 지금 함께하잖아?","한국·리얼리티·버라이어티 & 토크쇼,TV 프로그램·음식 & 여행,라이프스타일,리얼리티 TV,버라이어티 예능,리얼리티, 버라이어티 & 토크쇼",기분 좋아지는 시간
마인드헌터,단지 미치광이의 소행인가. 무차별 잔혹 범죄가 급증한 1970년대 말. FBI 행동과학부 요원들은 잇달아 발생한 강력 사건 해결을 위해 살인마들과 위험한 대화를 시작한다.,"TV 드라마·범죄,도서 원작의 TV 프로그램,TV 프로그램·미스터리,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램","등골 서늘,무서운 이야기"
루머의 루머의 루머,"친구의 비극적인 자살 후, 미스터리한 일들이 연이어 일어난다. 가슴 아픈 사건들의 중심에 서는 클레이 젠슨. 고등학생이 감당하기에는 너무 힘겨운 시간을 보낸다.","TV 드라마·범죄,도서 원작의 TV 프로그램,TV 프로그램·10대,TV 프로그램·미스터리,TV 드라마,미국 TV 프로그램","다크,긴장감 넘치는,풍부한 감정"
먼 훗날 우리,"고향 가는 기차에서 만난 두 청춘. 낯선 도시 베이징으로 돌아와 서로에게 의지한다. 10년 뒤, 다시 찾아온 우연. 그리운 사랑이 부르면, 이번엔 함께 뒤돌아볼까.","영화·도서 원작,중국 본토 영화,중국 영화,드라마 장르 영화,로맨스 영화,드라마 장르 영화·로맨스","풍부한 감정,로맨스"
셀링 선셋,"LA 최고의 공인 중개 회사, 오펜하임 그룹의 엘리트가 다시 모였다. 최고급 주택과 화려한 삶을 파는 중개인들. 그들의 무기는 인맥, 모든 드라마가 거기에서 시작된다.","홈 & 가든·리얼리티·TV 프로그램,라이프스타일,리얼리티 TV,미국 TV 프로그램,버라이어티 예능,리얼리티, 버라이어티 & 토크쇼","풍부한 감정,로맨스"
하우스 오브 카드,미국 역사상 첫 여성 대통령에 취임한 클레어 언더우드. 전임 대통령이자 남편이었던 프랭크의 그늘에서 벗어날 수 있을까. 거대한 반대 세력이 그녀의 행보를 가로막는다.,"TV 프로그램·정치,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램",다크
섀도우 헌터스: 더 모탈 인스트루먼트,평범한 10대 소녀 클레리 프레이는 자신이 천사의 피를 가진 악마 사냥꾼의 혈통이라는 사실을 알게 되면서 충격에 휩싸인다.,"TV 프로그램·판타지,TV 프로그램·SF,도서 원작의 TV 프로그램,TV 프로그램·10대,TV 프로그램·호러,미국 TV 프로그램",다크
우리의 지구,"압도적인 스케일, 경이로운 영상미 그리고 전 인류를 향한 메시지. 우리 지구에 관한 가장 광대한 탐험을 만난다. 자연의 장관과 공존의 철학을 담은 대작 다큐멘터리.","과학 & 자연 다큐멘터리,다큐멘터리·자연 & 생태,가족이 함께 보기 좋은 TV,과학 & 자연 TV 프로그램,미국 TV 프로그램,다큐시리즈",감동
다크,"어느 날, 아이가 사라졌다. 처음이 아니다. 3대를 이어온 미스터리, 절박하게 답을 찾으려는 네 가족. 현재와 과거가 얽힌 혼돈의 근원에는 무엇이 도사리고 있는 걸까.","TV 드라마·범죄,TV 프로그램·SF,독일·TV 프로그램,TV 프로그램·미스터리,TV 프로그램·스릴러,TV 드라마","현실 붕괴,등골 서늘,불길한 기운,무서운 이야기,긴장감 넘치는"
로스트 인 스페이스,지구보다 나은 삶을 향해 우주로 떠난 로빈슨 가족. 이주지로 향하던 도중 불시착하고 만다. 모든 것이 수상한 미지의 행성. 매 순간 새로운 위험에서 살아남아라!,"가족이 함께 보기 좋은 TV,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처,외계인·SF",긴장감 넘치는
손오공: 새로운 전설,"요괴들이 점령한 암흑의 세상, 용감한 소녀가 전설 속의 손오공을 깨운다. 손오공이야말로 세상의 유일한 희망! 그와 더불어 일곱 개의 경전을 찾아라. 세상을 구하라!","TV 프로그램·판타지,TV 프로그램·키즈,도서 원작의 TV 프로그램,가족이 함께 보기 좋은 TV,시대물,호주 TV 프로그램,TV 프로그램·액션 & 어드벤처",흥미진진
메시아,예리한 CIA 요원이 한 남자를 주목한다. 신의 전령을 자처하며 사람들을 사로잡은 남자. 그의 숭배자가 늘어날수록 사회는 점점 혼란해진다. 실화가 아닌 허구의 이야기.,"TV 프로그램·정치,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램","도발,은밀한,긴장감 넘치는,풍부한 감정"
전하를 조심해,"나답게, 행복하게 살고 싶다! 진정한 삶을 찾으려는 부유한 상속녀. 집을 나가 평범한 학생처럼 살아가는 그녀 앞에 차가운 톱스타가 나타난다. 이거, 악연일까 인연일까?","TV 드라마·로맨스,TV 프로그램·코미디·로맨스,도서 원작의 TV 프로그램,중국 본토/ TV 프로그램,TV 드라마,TV 프로그램·코미디",로맨스
라스트 킹덤,"잉글랜드의 마지막 왕국을 물려받은 알프레드. 잉글랜드의 핏줄로 바이킹 전사가 된 우트레드. 이들은 적인가, 동지인가. 라스트 킹덤에 전운이 감도는 지금, 두 남자의 운명이 맞물리기 시작한다.","도서 원작의 TV 프로그램,시대물,영국 TV 프로그램,TV 드라마,TV 프로그램·액션 & 어드벤처","폭력,다크,흥미진진"
블랙 썸머,"좀비 대재앙이 세상을 뒤덮은 암흑의 시대. 인류는 절멸의 위기에 처하고, 얼마 안 되는 생존자들은 서로 힘을 모은다. 끝까지 살아남아 사랑하는 이들에게 돌아가기 위해.","TV 프로그램·스릴러,TV 드라마,TV 프로그램·호러,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","다크,긴장감 넘치는"
사이키 쿠스오의 재난: 끝난 줄 알았지?,"초능력자 쿠스오와 그 친구라 주장하는 녀석들이 돌아왔다. 이번엔 또 어떤 사고를 치고 다닐까. 이놈의 귀찮은 초능력만으로도 쿠스오의 인생, 충분히 복잡하단 말이다!","TV 프로그램·만화 원작,학원물 애니,일본 소년 만화를 만나다,일본 애니메이션·SF & 판타지,일본 TV 프로그램,애니 시리즈","냉소적,황당한 이야기,위트"
스펜서 컨피덴셜,경찰에서 전과자로 추락한 스펜서. 그가 보스턴 경찰 두 명의 죽음에 얽힌 음모를 파헤친다. 이런 일엔 파트너가 있어야 제맛이지. 겁 없는 싸움꾼 호크가 그와 함께한다.,"미국 영화,영화·도서 원작,액션 & 어드벤처,코미디·액션,액션 스릴러,액션 & 어드벤처·범죄,미스터리,코미디",흥미진진
슬립오버,"부모님이 납치된다면? 우리가 구하러 가야지! 하지만 십 대 아이들이 국제적인 도둑 무리를 상대할 수 있을까? 최첨단 장비도 생겼겠다, 거칠고 뜨거운 밤을 보내볼까?","코미디·가족,미국 영화,액션 & 어드벤처,코미디·액션,액션 & 어드벤처·범죄,미스터리,코미디,영화·어린이 & 가족",흥미진진
첫사랑은 처음이라서,"스무 살 독립, 문란해질 준비는 끝났다. 화끈한 로맨스를 꿈꾸는 태오. 하지만 친구들이 각자의 사정으로 집에 쳐들어오면서, 기대하지 않았던 좌충우돌 동거가 시작된다.","TV 드라마·로맨스,한국 드라마,TV 드라마","감상적,로맨스"
빨간 머리 앤,마음에 불꽃을 품은 여자아이 앤. 나이 든 오누이의 초록지붕집에 발을 들이게 된다. 커스버트 남매와 낯선 고아 소녀가 가족이 되고 성장하는 과정을 그려낸 시리즈.,"도서 원작의 TV 프로그램,가족이 함께 보기 좋은 TV,TV 프로그램·10대,시대물,캐나다 TV 쇼 프로그램,TV 드라마","가슴 뭉클,풍부한 감정"
위쳐,"세계적인 판타지 대작이 넷플릭스 시리즈로 다시 태어난다. 어둠과 위험의 세계, 진실은 어디에 있을까. 운명으로 묶인 그들. 위쳐와 마법사, 홀로 남은 공주의 싸움이 시작된다.","TV 프로그램·판타지,도서 원작의 TV 프로그램,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처",흥미진진
블랙 미러,"눈부시게 발전한 첨단 기술. 하지만 인간의 어두운 본능이 그 기술을 이용하면서, 기이한 악몽이 시작된다. ‘디지털 시대의 《환상 특급》’이라 불리는 SF 시리즈.","TV 프로그램·SF,영국 TV 프로그램,TV 프로그램·스릴러,TV 드라마,사이버펑크","현실 붕괴,등골 서늘,불길한 기운,다크,긴장감 넘치는"
엘리트들,애초부터 어울리지 않는 옷이었을까. 스페인 최고의 명문 사립 학교에 전학 오게 된 세 명의 평범한 아이들. 행운을 붙잡은 줄 알았던 이들은 살인 사건에 깊이 연루된다.,"TV 드라마·범죄,TV 프로그램·10대,스페인 TV 시리즈,TV 프로그램·미스터리,TV 프로그램·스릴러,TV 드라마","관능적,긴장감 넘치는"
지정생존자,가공할 테러로 삽시간에 아수라장이 된 워싱턴. 이제 미합중국의 운명이 하위 각료 한 사람의 손에 달렸다. 긴장을 늦출 수 없는 정치 스릴러.,"TV 드라마·범죄,TV 프로그램·정치,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램","긴장감 넘치는,흥미진진"
좋아하면 울리는,"누군가 나를 좋아한다. 그 사람이 나에게 다가오면 알람이 울린다. 마음을 알려주는 앱 ‘좋알람’의 시대, 힘겹게 살아가는 소녀 조조에게도 풋풋한 사랑이 찾아온다.","웹툰 원작 한국 드라마,TV 드라마·로맨스,한국 드라마,TV 프로그램·10대,TV 드라마","감상적,풍부한 감정,로맨스"
오티스의 비밀 상담소,"소심한 소년 오티스의 대반전, 그가 아웃사이더 소녀와 함께 섹스 클리닉을 연다. 성 상담사 엄마에게 귀동냥한 산지식을 모두 전수해드려요. 오티스는 절찬 상담 중!","TV 프로그램·10대,영국 TV 프로그램,TV 드라마,TV 프로그램·코미디","선정적,가슴 뭉클"
오렌지 이즈 더 뉴 블랙,상류층 뉴요커가 과거의 범죄에 발목을 잡힌다. 그녀가 여성 교도소에 수감되면서 벌어지는 일들을 그린 시리즈. 드라마 《위즈》의 제작자가 내놓은 에미상 수상작이다.,"도서 원작의 TV 프로그램,TV 드라마,TV 프로그램·코미디,미국 TV 프로그램",위트
빌어먹을 세상 따위,"이제 발돋움을 시작한 사이코패스와 미치도록 떠나고 싶은 반항아. 그들이 가는 곳에는 불운뿐이지만, 이 세상보다야 낫겠지. 그래픽 노블 원작의 어두운 코미디 시리즈.","TV 프로그램·10대,영국 TV 프로그램,TV 드라마,TV 프로그램·코미디","색다른 이야기,다크"
너의 모든 것,"마음이 끌리는 사람에게 다가가기 위해서라면, 무슨 짓이든 할 수 있다. 위험한 매력의 소유자, 집착의 끝을 보여주는 남자. 그의 소름 끼치는 로맨스가 시작된다.","TV 드라마·범죄,도서 원작의 TV 프로그램,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램","다크,긴장감 넘치는"
보디가드,트라우마를 안고 돌아온 참전 군인. 열차 테러를 막을 정도로 유능한 그가 장관의 경호를 맡는다. 하지만 장관은 그를 전쟁으로 이끈 장본인. 둘의 운명은 어디로 갈까.,"TV 드라마·범죄,TV 프로그램·정치,영국 TV 프로그램,TV 프로그램·미스터리,TV 프로그램·스릴러,TV 드라마","긴장감 넘치는,흥미진진"
유성화원,"꿈에 그리던 대학교에 입학한 산차이. 신나는 학교생활을 만끽하려 했으나, 시작부터 태클이 들어온다. 학교를 주름잡는 F4와 엮인 그녀. 갈 길이 파란만장하겠는데?","TV 드라마·로맨스,TV 프로그램·만화 원작,TV 프로그램·10대,중국 본토/ TV 프로그램,TV 드라마",로맨스
어둠 속으로,"그 무엇도 태양광을 막을 수 없다. 햇빛에 닿는 순간 죽음뿐. 기이한 우주 현상이 빚어낸 광선을 피하려면 밤 시간대의 지역으로 달아나야만 한다. 납치된 야간 비행기에 탑승한 승객들이 태양에 쫓겨, 멈출 수 없는 도주를 시작한다.","TV 프로그램·SF,도서 원작의 TV 프로그램,TV 프로그램·스릴러,TV 드라마","긴장감 넘치는,풍부한 감정"
절대쌍교,천하를 지배할 영웅은 하나. 강호의 무림 고수들이 운명적인 대결을 펼친다. 쌍둥이 형제지만 서로의 존재를 모르는 그들. 슬픈 사랑도 고통스러운 과거도 피할 수 없다.,"TV 프로그램·판타지,도서 원작의 TV 프로그램,중국 본토/ TV 프로그램,TV 드라마","풍부한 감정,흥미진진"
굿 걸스,빠듯한 살림과 빚잔치에 울화가 치민 세 여인. 언제까지 이렇게 살아? 동네 마트나 한번 털고 허리 좀 펴자! 생각으로 그쳤으면 좋았을 것을 과감하게 실행에 옮긴다.,"TV 드라마·범죄,TV 드라마,TV 프로그램·코미디,미국 TV 프로그램","위트,긴장감 넘치는"
설국열차,"얼어붙은 지구, 살아남으려면 끝없이 달려야 한다. 마지막 인류를 싣고 선로를 따라 순환하는 열차. 조금만 미끄러져도 파멸이 다가온다. 그래도 혁명을 포기할 수는 없다.","TV 드라마·범죄,TV 프로그램·SF,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처,사이버펑크","은밀한,다크"
나르코스,"콜롬비아의 에스코바르와 로스 페페스는 세계 최대의 마약 제국을 건설하고 미국의 공공의 적이 된다. 카르텔과 양국 정부의 피비린내 나는 전쟁, 이것은 실화다.","TV 드라마·범죄,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","다크,긴장감 넘치는,흥미진진"
더블 타겟,해병대 출신의 퇴역한 명사수 밥 리는 대통령 암살 음모를 저지해달라는 백악관의 요청을 받고 현업에 복귀하지만 곧 살인 누명을 쓰고 만다.,"TV 드라마·범죄,도서 원작의 TV 프로그램,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","다크,긴장감 넘치는,흥미진진"
심야식당: 도쿄 스토리,언뜻 보면 평범해 보이는 한 일본 식당의 단골손님들은 특정한 음식에 대한 공통의 애정을 바탕으로 서로 간에 단순하지만 깊은 유대관계를 쌓아 나간다.,"TV 프로그램·만화 원작,일본 TV 프로그램,TV 드라마","잔잔한 분위기,은밀한,가슴 뭉클"
레인,"죽음의 비를 타고 바이러스가 퍼진다. 황폐해진 스칸디나비아, 그곳에서 6년이 지나도록 살아남은 남매. 그들이 젊은 생존자들과 함께 떠난다. 희망을 찾아, 해답을 찾아.","TV 프로그램·SF,TV 프로그램·10대,덴마크 TV 시리즈,스칸디나비아 TV 쇼,TV 프로그램·스릴러,TV 드라마","불길한 기운,다크,긴장감 넘치는,풍부한 감정"
우주를 누비는 쏙독새,"외모가 달라지면 인생도 달라진다? 정반대의 두 소녀, 몸이 뒤바뀌어 버렸다! 아유미의 예쁜 얼굴과 가족, 남자 친구까지 빼앗은 젠코. 그녀가 원했던 삶을 살 수 있을까.","TV 프로그램·만화 원작,TV 프로그램·10대,일본 TV 프로그램,TV 프로그램·스릴러,TV 드라마","긴장감 넘치는,풍부한 감정"
3%,"번영과 폐허, 두 세계로 철저히 양극화된 미래의 세상. 폐허의 땅에서 벗어나 번영의 땅으로 갈 3%의 엘리트로 선발될 기회는 평생 단 한 번뿐이다.","TV 프로그램·SF,TV 프로그램·정치,브라질·TV 프로그램,라틴 아메리카 TV 쇼,TV 드라마","긴장감 넘치는,풍부한 감정"
아웃랜더,다이애나 개벌든의 인기 판타지 로맨스 소설 시리즈를 각색한 서사 드라마. 18세기 스코틀랜드로 타임슬립한 2차대전 군 간호사와 스코틀랜드 청년의 로맨스가 펼쳐진다.,"TV 프로그램·판타지,TV 드라마·로맨스,TV 프로그램·정치,도서 원작의 TV 프로그램,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처,인기 로맨스","관능적,은밀한,흥미진진,로맨스"
마인드헌터,단지 미치광이의 소행인가. 무차별 잔혹 범죄가 급증한 1970년대 말. FBI 행동과학부 요원들은 잇달아 발생한 강력 사건 해결을 위해 살인마들과 위험한 대화를 시작한다.,"TV 드라마·범죄,도서 원작의 TV 프로그램,TV 프로그램·미스터리,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램","등골 서늘,무서운 이야기"
루머의 루머의 루머,"친구의 비극적인 자살 후, 미스터리한 일들이 연이어 일어난다. 가슴 아픈 사건들의 중심에 서는 클레이 젠슨. 고등학생이 감당하기에는 너무 힘겨운 시간을 보낸다.","TV 드라마·범죄,도서 원작의 TV 프로그램,TV 프로그램·10대,TV 프로그램·미스터리,TV 드라마,미국 TV 프로그램","다크,긴장감 넘치는,풍부한 감정"
하우스 오브 카드,미국 역사상 첫 여성 대통령에 취임한 클레어 언더우드. 전임 대통령이자 남편이었던 프랭크의 그늘에서 벗어날 수 있을까. 거대한 반대 세력이 그녀의 행보를 가로막는다.,"TV 프로그램·정치,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램",다크
다크,"어느 날, 아이가 사라졌다. 처음이 아니다. 3대를 이어온 미스터리, 절박하게 답을 찾으려는 네 가족. 현재와 과거가 얽힌 혼돈의 근원에는 무엇이 도사리고 있는 걸까.","TV 드라마·범죄,TV 프로그램·SF,독일·TV 프로그램,TV 프로그램·미스터리,TV 프로그램·스릴러,TV 드라마","현실 붕괴,등골 서늘,불길한 기운,무서운 이야기,긴장감 넘치는"
로스트 인 스페이스,지구보다 나은 삶을 향해 우주로 떠난 로빈슨 가족. 이주지로 향하던 도중 불시착하고 만다. 모든 것이 수상한 미지의 행성. 매 순간 새로운 위험에서 살아남아라!,"가족이 함께 보기 좋은 TV,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처,외계인·SF",긴장감 넘치는
메시아,예리한 CIA 요원이 한 남자를 주목한다. 신의 전령을 자처하며 사람들을 사로잡은 남자. 그의 숭배자가 늘어날수록 사회는 점점 혼란해진다. 실화가 아닌 허구의 이야기.,"TV 프로그램·정치,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램","도발,은밀한,긴장감 넘치는,풍부한 감정"
전하를 조심해,"나답게, 행복하게 살고 싶다! 진정한 삶을 찾으려는 부유한 상속녀. 집을 나가 평범한 학생처럼 살아가는 그녀 앞에 차가운 톱스타가 나타난다. 이거, 악연일까 인연일까?","TV 드라마·로맨스,TV 프로그램·코미디·로맨스,도서 원작의 TV 프로그램,중국 본토/ TV 프로그램,TV 드라마,TV 프로그램·코미디",로맨스
라스트 킹덤,"잉글랜드의 마지막 왕국을 물려받은 알프레드. 잉글랜드의 핏줄로 바이킹 전사가 된 우트레드. 이들은 적인가, 동지인가. 라스트 킹덤에 전운이 감도는 지금, 두 남자의 운명이 맞물리기 시작한다.","도서 원작의 TV 프로그램,시대물,영국 TV 프로그램,TV 드라마,TV 프로그램·액션 & 어드벤처","폭력,다크,흥미진진"
블랙 썸머,"좀비 대재앙이 세상을 뒤덮은 암흑의 시대. 인류는 절멸의 위기에 처하고, 얼마 안 되는 생존자들은 서로 힘을 모은다. 끝까지 살아남아 사랑하는 이들에게 돌아가기 위해.","TV 프로그램·스릴러,TV 드라마,TV 프로그램·호러,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","다크,긴장감 넘치는"
첫사랑은 처음이라서,"스무 살 독립, 문란해질 준비는 끝났다. 화끈한 로맨스를 꿈꾸는 태오. 하지만 친구들이 각자의 사정으로 집에 쳐들어오면서, 기대하지 않았던 좌충우돌 동거가 시작된다.","TV 드라마·로맨스,한국 드라마,TV 드라마","감상적,로맨스"
베터 콜 사울,"에미상 후보작 《브레이킹 배드》의 스핀 오프 시리즈로, 삼류 변호사 지미 맥길이 악덕 변호사 사울 굿맨으로 변하게 되는 과정을 그린다.","TV 드라마·범죄,TV 드라마,미국 TV 프로그램",색다른 이야기
더 크라운,"엘리자베스 2세의 재위 중 펼쳐진 정치적 투기와 로맨스, 그리고 20세기 후반 세계의 지각을 형성한 사건들을 엮어낸 드라마.","TV 프로그램·정치,영국 TV 프로그램,TV 드라마",은밀한
저주받은 소녀,"위대한 마법사에게 검을 전해야 한다. 모두가 멀리했으나, 신비한 힘을 가진 소녀 니무에. 그녀가 동족을 구하기 위한 여정을 떠난다. 젊고 매력적인 기사 아서와 함께.","TV 프로그램·판타지,도서 원작의 TV 프로그램,TV 프로그램·10대,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처",폭력
센스8,어느 날 갑자기 서로의 감각과 감정을 공유하게 된 낯선 8명의 남녀. 《매트릭스》와 《바빌론 5》의 제작팀이 선보이는 본격 SF 시리즈.,"TV 드라마·범죄,TV 프로그램·SF,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램","현실 붕괴,은밀한,다크,긴장감 넘치는,풍부한 감정"
천성장가,"나라에 충성하고 만인에게 존경받는 지미. 그러나 가문의 비밀을 알게 된 후, 그녀는 선택해야 한다. 가족을 위한 복수와 운명적인 사랑, 그 갈림길 사이에서.","TV 드라마·로맨스,도서 원작의 TV 프로그램,중국 본토/ TV 프로그램,시대물,TV 드라마,TV 프로그램·액션 & 어드벤처","흥미진진,로맨스"
