Title,Summary,Genre,Feature
Marvel 에이전트 카터,캡틴 아메리카를 잃었다. 그러나 페기 카터는 영웅의 여인만이 아니었으니! 첩보 조직에 합류해 차별을 딛고 눈부시게 활약하는 그녀. 또 하나의 위대한 영웅을 목도하라.,TV 프로그램 만화 원작 미국 TV 프로그램 TV 프로그램 액션   어드벤처,흥미진진
배틀피시,"여름, 미국 태평양 연안 북서부의 바다가 금광으로 변신한다! 값비싼 참치 떼를 잡기 위해 배를 띄우는 어부들. 그들의 전쟁과 같은 참치잡이 현장을 실감 나게 포착한다.",과학   자연 TV 프로그램 리얼리티 TV 미국 TV 프로그램 TV 프로그램 액션   어드벤처 버라이어티 예능 리얼리티  버라이어티   토크쇼,흥미진진
해피!,"영웅에서 살인 청부업자로 전락한 전직 경찰. 어느 날 그의 눈에 파란색 꼬마 유니콘이 보이기 시작한다. 납치된 소녀를 구해달라고 조르는 유니콘. 이거, 정말 현실일까?",TV 프로그램 만화 원작 TV 프로그램 코미디 미국 TV 프로그램 TV 프로그램 액션   어드벤처,선정적 폭력
메디컬 폴리스,"소아과 의사였던 오언 마에스트로와 롤라 스프랫이 질병통제예방센터의 비밀 요원이 된다? 이제 복통과 골절 대신, 전 세계로 퍼지는 치명적인 바이러스를 조사해야 한다.",TV 프로그램 코미디 미국 TV 프로그램 TV 프로그램 액션   어드벤처,위트 푼수 캐릭터
원점 수사,비기가 죽기 6개월 전 살해된 인기 래퍼 투팍 샤커. 투팍과 비기는 어떤 관계였을까. 연방 특별 수사반에 발탁된 케이딩과 듀프리는 10년 전 사건 관련자들을 재조사한다.,TV 드라마 범죄 도서 원작의 TV 프로그램 TV 드라마 미국 TV 프로그램 힙합,도발
그들이 우리를 바라볼 때,"할렘에 사는 다섯 소년이 체포된다. 편견에 사로잡힌 시선 때문에 잔인한 범죄의 용의자로 지목된 그들. 악몽 같은 현실에서 벗어나기 위한, 처절한 싸움이 시작된다.",TV 드라마 범죄 사회 문제 TV 드라마 TV 드라마 미국 TV 프로그램,도발 풍부한 감정
7초,"열다섯 살 흑인 소년이 눈밭에 버려진다. 피 흘리며, 홀로 죽은 아이. 정의는 멀고 현실은 비정한 것. 경찰은 진상을 은폐하려 하지만 아직 진실을 원하는 이들이 있다.",TV 드라마 범죄 사회 문제 TV 드라마 TV 드라마 미국 TV 프로그램,다크 풍부한 감정
신이 없는 계절,"대공황의 시대, 거대 자본에 짓밟힌 노동자의 울부짖음, 탐욕과 생존을 위한 피의 갈등이 있는 이곳. 수수께끼 같은 과거를 가진 이방인 목사가 파업을 주도한다.",TV 드라마 범죄 사회 문제 TV 드라마 시대물 TV 드라마 미국 TV 프로그램,수사
어떤 고백의 기록,누가 그들을 악마로 만들었을까. 경찰의 회유와 강압 때문에 저지른 적도 없는 범죄를 자백한 사람들. 죄 없이 극악무도한 살인자로 전락한 그들의 목소리를 듣는다.,실제 범죄 다큐멘터리 사회   문화 다큐멘터리 다큐멘터리 역사 미국 TV 프로그램 다큐시리즈,도발 수사
아쿠아리우스,"1960년대 LA, 그 혼란의 중심에서 섹스와 마약으로 얼룩진 찰스 맨슨의 컬트 집단을 파헤치게 된 두 경찰과 명문 정치가문의 이야기이다.",TV 드라마 범죄 TV 드라마 미국 TV 프로그램,다크
킬러 인사이드: 아론 에르난데스는 왜 괴물이 되었나?,타고난 재능으로 성공을 얻었다. 그를 둘러싼 이들에게 사랑도 받았다. 하지만 결국 살인자가 되었다. 스타 풋볼 선수 아론 에르난데스. 그의 진실을 파헤치는 다큐시리즈.,실제 범죄 다큐멘터리 다큐멘터리 스포츠 미국 TV 프로그램 다큐시리즈,수사 다크
여섯 개의 주먹,부드러움이 강하다. 사부님의 가르침대로 살고 싶었던 세 명의 제자에게 시련이 닥친다. 악마 같은 마약왕과 괴물들의 습격. 그들에게 남은 건 여섯 개의 주먹뿐이다.,일본 애니메이션 액션 일본 애니메이션 SF   판타지 애니 시리즈 미국 TV 프로그램,폭력 다크
이노센트 맨,1980년대 오클라호마주 에이다에서 일어난 두 살인 사건. 감옥에 있는 그들은 범인이 아니다? 존 그리샴의 유일한 실화 소설 《이노센트 맨》을 각색한 다큐멘터리.,실제 범죄 다큐멘터리 사회   문화 다큐멘터리 도서 원작의 TV 프로그램 미국 TV 프로그램 다큐시리즈,도발 수사
결백의 기록,"실수와 기만에 물든 수사와 판결. 이제 바로 잡아야 한다. 사법제도의 희생자를 돕는 결백 프로젝트. 그들이 되살린, 억울하게 묻힌 진실을 조명한 다큐멘터리 시리즈.",실제 범죄 다큐멘터리 사회   문화 다큐멘터리 미국 TV 프로그램 다큐시리즈,수사 풍부한 감정
죽음의 진통제,아들의 갑작스러운 죽음. 분노한 약사가 아편계 진통제에 중독된 현실을 정면으로 조준한다. 중독과 죽음을 양산하는 제약 업계의 탐욕을 고발하는 다큐멘터리 시리즈.,실제 범죄 다큐멘터리 사회   문화 다큐멘터리 미국 TV 프로그램 다큐시리즈,수사
증거물 A,잘못된 과학 수사로 범죄자가 된 사람들이 있다. 훼손된 DNA와 시신을 찾지 못한 시체 탐지견에 의해 유죄를 선고받은 이들. 실제 범죄를 다룬 이 시리즈에서 만나본다.,실제 범죄 다큐멘터리 과학   자연 다큐멘터리 사회   문화 다큐멘터리 과학   자연 TV 프로그램 미국 TV 프로그램 다큐시리즈,도발 수사
머더 마운틴,"미국 최대 마리화나 재배지, 험볼트 카운티. 이곳에 실종 사건이 속출하는 이유는 무엇일까? 사라진 한 청년을 찾는 과정 속, 마리화나 산업의 속살을 담아낸 다큐멘터리.",실제 범죄 다큐멘터리 미국 TV 프로그램 다큐시리즈,잔잔한 분위기 수사 다크
마약 스캔들의 재구성,"법은 누구를 위해 존재하는가. 마약 연구소 화학자 두 명이 일으킨 스캔들. 하지만 사건은 은폐되고 축소된다. 빼앗긴 권리와 정의를 되찾고자, 누군가는 싸워야 한다.",실제 범죄 다큐멘터리 사회   문화 다큐멘터리 미국 TV 프로그램 다큐시리즈,스캔들 수사
누가 맬컴 X를 죽였나?,"수십 년이 지났으나, 내막은 드러나지 않은 채 묻힌 사건. 한 활동가가 미국의 흑인 인권 운동 지도자 맬컴 X의 죽음을 조사한다. 진실을 밝히고 정의를 찾으려 한다.",실제 범죄 다큐멘터리 사회   문화 다큐멘터리 다큐멘터리 역사 다큐멘터리 실존 인물 미국 TV 프로그램 다큐시리즈,도발 수사
어느 세균학자의 죽음,"CIA의 ‘MK-울트라’ 작전에 휘말린 프랭크 올슨. 그가 저지른 ‘끔찍한 실수’는 무엇이었을까. 한 과학자의 파멸과 죽음. 그 배후에 환멸의 시대, 광기의 역사가 있다.",실제 범죄 다큐멘터리 다큐멘터리 역사 미국 TV 프로그램 다큐시리즈,불길한 기운 도발 수사
행복한 교도소,춤을 추는 재소자들을 기억하는가? 마이클 잭슨 댄스 영상으로 명성을 떨친 필리핀의 한 교도소. 전과자 출신의 자문 위원 때문에 그들이 다시 논란의 중심에 선다.,사회   문화 다큐멘터리 미국 TV 프로그램 다큐시리즈,도발 풍부한 감정 흥미진진
브레이브 미스 월드: 침묵하지 않겠다,나는 강간 피해자다! 성폭행이라는 충격적인 일을 겪은 미스 월드 리노르 아바르질. 개인적 비극을 딛고 성폭력에 대해 전 세계의 각성을 촉구하는 용기 있는 목소리를 낸다.,사회   문화 다큐멘터리 다큐멘터리 실존 인물 미국 TV 프로그램 다큐시리즈,논쟁적 풍부한 감정
트레일러 파크 보이즈: 카툰,하는 짓마다 폭소를 선사한 노바스코샤의 망나니들이 만화 세상에 진출한다. 현실의 한계를 뛰어넘는 엽기 행각의 연속. 《트레일러 파크 보이즈》의 신기원이 열린다.,TV 프로그램 코미디 미국 TV 프로그램,선정적
Horsin' Around,"한 명도 아니고 세 명씩이나! 집도 가족도 없는 고아들에게 반인반말 보잭은 ""나랑 같이 살자""라고 말하고 그들은 새로운 가족이 된다!",TV 프로그램 코미디 미국 TV 프로그램,냉소적
데이브 샤펠,독한 쇼가 왔다! 최초 공개되는 두 편의 스탠드업 스페셜로 돌아온 데이브 샤펠이 꽁꽁 숨겨두었던 비장의 토크 보따리를 풀어놓는다.,스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 코미디 다크 코미디 버라이어티 예능,선정적
데이브 샤펠: 당황하지 않고 & 찰리 파커 계시,천재 코미디언 데이브 샤펠. 그가 두 번의 특별한 무대를 통해 올해를 뜨겁게 달궜던 쟁점들을 쏟아낸다. 객석에서 쏟아지는 웃음과 박수갈채는 기본. 블랙 코미디의 진수.,스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 코미디 버라이어티 예능,선정적 위트
세상 웃기는 코미디언들,전 세계를 웃겨라! 13개 지역에서 모인 47명의 코미디언. 이들이 선사하는 지상 최대의 코미디쇼 시리즈. 나라마다 웃음 포인트가 다르다? 일단 '에피소드'부터 골라보자.,스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,선정적 위트
대니얼 슬로스: 거대한 농담,"어둠 속에서 웃음을 길어 올리는 코미디언 대니얼 슬로스. 인종, 정치, 죽음까지, 금기란 없다. 어떤 얘긴 좀 심한 거 아니냐고? 하지만 인간적으로 웃긴 걸 어떡해!",스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,위트
엘런 디제너러스: 공감 능력자,"엘런이 2003년 이후 처음으로 선보이는 스탠드업 스페셜. 슈퍼스타의 자리에 오르기까지, 멀고도 험난했던 그녀의 여정. 진심 어린 이야기에 감동하기 전에, 일단 웃긴다!",스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,위트
지옥에서 온 코미디,지금부터 봉인을 해제한다! 30분짜리 무대에 오른 6인의 코미디언. 낯 뜨거운 음담패설? 아슬아슬한 독설? 내키는 대로 발산한다. 이것은 본격 19금 스탠드업 코미디!,스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,논쟁적 냉소적 도발 선정적
코미디 라인업,"스탠드업 코미디, 이제 우리가 접수한다! 떠오르는 신예 코미디언들이 만드는 신선한 무대. 주어진 시간은 단 15분, 그 안에 관객을 웃겨야 한다. 어디 시작해볼까?",스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,냉소적 위트 엉뚱 기발
지금 웃기러 갑니다,"코미디의 최전선을 만난다! 가장 핫한 코미디언들이 선보이는 30분짜리 스페셜. 은근한 농담과 포복절도 경험담, 난감한 고백이 쏟아진다. 도대체 언제까지 웃길 텐가!",스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,냉소적 위트
데이브 샤펠의 날: 마크 트웨인 유머상 수상 기념 스페셜,"독보적 코미디 세계를 구축한 데이브 샤펠, 코미디계 최고 영예인 마크 트웨인 유머상의 주인공이 되다! 스타들과 함께 그의 발자취를 조명하는 축하 무대. 데이브의 앳된 모습과 유머의 뿌리가 궁금하다면 시청 필수.",스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,냉소적 위트
오버 더 허니문: 코미디 클리닉,"커플 상담을 원하십니까? 맡겨만 주세요. 코미디언 부부가 준비한 스탠드업 스페셜. 하지만 가끔 헛소리를 할지도 몰라요. 몇 달 뒤면 아기가 태어나는데, 제정신일 리가!",스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,선정적 위트
티퍼니 해디시의 내일은 대세,'블랙 유니콘' 티퍼니 해디시가 선정한 내일의 스타들. 거침없이 웃기고 발칙하기까지 한 코미디언 6인이 온다. 신들린 입담으로 세계를 정복할 그녀들을 먼저 만나라.,스탠드업 코미디 TV 프로그램 정치 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,선정적 위트
제프와 데이브: 마이크 범프,"제프 로스와 데이브 어텔이 손잡고, 한 무대에 오른다. 물오른 유머 감각과 환상의 궁합을 자랑하는 두 사람. 거기에 특별한 친구들까지 가세하니, 웃지 않고 어떻게 배겨!",스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,냉소적 선정적
코미디 청문회,"‘청문회 감정인’ 제프 로스와 웃기는 참고인들의 한바탕 집중포화. 시대를 풍미했던 역사적 인물들의 명과 암을 신랄하게 들춰내고, 때론 그들의 삶에 경의를 표한다. 봐주기 따위 없는 성역 없는 검증. 아주 들들 볶아 탈탈 털어드려요.",스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,선정적
패튼 오스왈트: 인생 대만족,앞으론 조용히 살려 했다는 패튼. 하지만 둘도 없는 인연을 만났는데 놓칠 순 없지. 그래서 재혼했더니 그야말로 최고다. 한때 이혼의 주술사였다가 나이 오십에 결혼 예찬론자가 된 그가 외친다. 여러분도 사랑을 향해 뛰어가세요!,스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,위트
브라이언 리건 쇼: 스탠드업 & 어웨이!,"브라이언 리건, 그가 보고 말하는 모든 것은 웃음이 된다. 스탠드업 코미디와 콩트를 섞고, 관객과의 대화까지 곁들인 무대. 어디에도 없던 초유의 코미디가 시작된다.",스탠드업 코미디 TV 프로그램 코미디 미국 TV 프로그램 버라이어티 예능,황당한 이야기 푼수 캐릭터
러셀 피터스 vs 더 월드,"세계적인 코미디 슈퍼스타 러셀 피터스의 전무후무한?""노토리어스"" 월드 투어 공연의 무대 뒷이야기를  독점 공개한 4부작?다큐멘터리 시리즈.",스탠드업 코미디 미국 TV 프로그램 다큐시리즈 버라이어티 예능,위트
